1000	3		
44	18	24	3
28	16	50	22
26	50	18	21
28	8	25	5
35	34	25	25
32	9	24	24
47	2	41	34
41	7	9	21
29	38	17	43
1	7	42	36
48	26	34	28
16	3	30	41
18	6	22	49
28	17	41	30
16	15	33	7
47	47	15	10
9	32	1	6
33	27	31	50
15	25	12	19
39	12	36	20
48	1	16	41
11	15	32	48
30	47	18	37
3	2	39	3
6	46	24	27
26	19	32	21
21	8	9	49
34	11	8	31
25	44	47	33
0	41	11	37
39	38	39	37
50	22	3	14
34	14	25	12
11	42	45	9
0	22	22	45
21	50	25	3
16	6	11	50
2	38	31	33
46	18	1	22
19	29	16	26
17	10	24	38
35	1	9	39
32	32	10	25
50	27	38	31
10	42	37	30
35	44	31	20
33	35	49	34
47	48	2	41
40	13	18	6
31	41	27	46
32	41	43	33
12	45	40	50
49	29	35	35
7	48	6	42
18	26	12	17
45	24	40	1
48	45	29	1
36	7	49	31
26	39	31	26
23	3	46	45
1	29	9	1
4	27	21	38
32	17	41	42
12	12	25	11
3	16	14	28
25	16	19	35
47	6	11	31
17	21	3	35
30	50	18	29
45	45	43	41
10	24	22	10
30	37	16	12
41	45	42	9
49	26	9	37
41	43	31	2
29	38	18	36
14	14	39	45
22	10	40	35
23	32	24	16
13	47	13	21
39	31	15	43
12	42	4	16
10	36	20	43
33	13	26	48
40	37	7	39
33	19	22	28
30	22	1	18
39	43	25	40
8	10	1	3
43	31	48	11
40	35	41	48
50	24	38	46
46	42	48	37
8	22	18	37
14	15	1	23
42	40	49	8
11	23	6	6
38	35	6	10
49	40	36	6
34	31	28	5
36	8	30	31
49	49	46	19
35	40	26	2
16	40	41	5
45	48	16	1
26	46	36	45
36	23	45	19
1	11	33	20
15	32	24	44
20	7	24	31
13	9	14	36
6	24	12	39
29	47	43	43
25	23	47	34
16	3	41	26
35	38	23	25
26	29	45	17
40	50	12	18
47	40	1	4
4	35	42	49
7	34	4	30
1	19	37	18
17	31	45	7
8	14	21	14
26	41	36	19
6	39	2	37
42	15	50	4
41	2	28	9
40	8	41	23
50	18	11	16
31	16	1	41
22	14	27	24
27	11	32	37
38	37	45	8
49	12	18	46
2	7	4	9
15	14	28	14
32	20	17	41
40	36	31	40
0	10	16	16
11	21	46	13
3	6	33	42
26	1	19	33
20	17	6	2
32	22	17	25
18	9	49	29
4	19	21	24
41	46	47	33
44	14	38	23
49	46	14	24
25	37	17	44
32	41	47	8
19	30	12	15
23	23	12	30
42	7	50	30
20	13	20	6
0	29	36	9
46	5	31	27
35	40	40	1
25	6	33	3
48	4	13	35
21	33	26	23
21	38	29	22
25	12	16	42
31	41	10	37
20	36	22	49
28	31	41	34
6	29	7	23
21	18	19	34
20	43	9	31
15	16	2	6
29	39	20	15
40	12	47	36
15	40	11	41
14	37	24	40
8	34	44	46
17	45	43	38
10	17	40	15
49	2	25	15
39	48	15	24
32	5	17	49
11	18	38	23
24	46	43	29
38	21	38	34
26	23	20	11
15	20	30	22
0	32	16	46
8	9	25	16
31	41	46	14
25	29	12	2
47	1	28	42
16	5	41	42
24	10	35	44
15	2	6	48
12	9	49	32
7	24	20	42
47	42	2	32
19	48	40	49
36	44	8	46
49	38	15	24
9	30	48	3
36	27	37	35
13	41	22	16
4	42	8	50
46	1	40	4
22	39	25	48
3	39	4	33
43	13	12	39
26	40	43	41
30	21	9	34
48	35	29	44
21	16	12	27
46	9	4	27
44	28	10	41
23	44	3	38
38	6	28	35
4	23	14	2
45	14	37	27
14	18	35	23
38	8	5	1
46	23	5	33
40	20	26	34
38	40	43	25
17	24	7	24
22	39	16	4
17	21	21	39
37	49	13	37
22	30	1	28
41	30	23	6
13	40	36	25
19	23	7	42
39	5	29	42
11	31	11	41
15	39	41	17
25	4	25	17
33	37	38	20
36	27	30	31
41	41	44	22
20	31	29	4
20	1	27	43
36	13	4	20
44	11	29	46
34	10	2	27
38	4	8	37
26	27	50	42
39	28	18	24
26	17	10	20
19	7	4	42
30	39	40	19
44	31	27	8
24	32	48	12
11	39	20	20
3	9	20	35
39	17	24	42
5	27	32	40
0	3	36	4
49	10	45	44
19	27	19	35
28	11	6	24
34	6	44	7
45	1	12	2
3	5	23	7
22	2	43	7
17	36	23	18
34	21	8	45
46	42	44	15
8	50	40	47
35	26	12	14
21	47	3	37
19	29	43	14
44	12	22	7
46	7	29	36
14	13	44	21
11	15	42	23
27	25	1	30
31	3	8	35
8	24	19	25
43	22	13	24
25	21	8	16
16	43	31	16
50	33	8	48
41	1	29	40
3	50	3	29
44	48	44	50
34	25	47	36
14	31	32	28
13	27	20	47
43	2	1	7
6	27	48	14
11	42	31	44
39	9	31	6
20	35	5	35
45	43	5	45
7	8	8	49
21	24	25	45
26	50	14	19
48	24	49	8
39	31	26	23
25	5	10	29
21	35	38	27
38	15	43	9
27	11	49	18
7	34	8	14
27	24	37	10
14	2	12	40
41	20	4	25
38	15	39	49
38	44	42	47
0	26	11	10
46	29	43	5
38	15	21	3
11	36	33	49
44	9	28	32
38	2	38	44
4	13	27	39
45	32	46	2
3	9	41	33
50	31	14	33
25	42	30	39
40	18	30	48
29	36	23	49
24	31	20	9
35	3	47	3
44	27	11	18
34	15	33	3
47	36	10	5
40	25	41	30
19	1	47	5
37	13	17	39
47	4	2	49
41	15	15	13
48	22	6	40
38	23	45	21
46	29	21	26
7	33	7	16
48	42	11	18
1	9	26	47
19	29	39	39
17	14	50	17
44	33	18	30
30	23	6	45
42	39	28	43
7	15	37	13
17	19	17	42
41	7	45	47
1	1	43	9
24	5	7	17
16	46	2	9
30	47	41	32
19	45	17	43
49	26	20	50
39	30	21	45
8	13	5	46
16	33	18	26
26	45	33	5
14	26	13	28
15	16	12	19
30	17	21	43
18	28	33	33
24	47	31	36
38	36	3	45
4	2	11	37
10	29	47	21
21	49	17	33
42	41	1	12
36	42	32	50
4	27	23	25
26	48	5	21
1	12	31	32
42	26	11	19
48	41	16	12
46	17	20	28
36	34	44	12
15	41	4	28
43	21	22	43
5	1	35	33
26	45	33	15
33	35	41	20
9	29	14	12
30	20	49	26
45	13	37	16
28	26	14	20
42	25	9	12
12	16	12	42
35	16	13	45
34	21	27	32
43	33	33	41
44	15	49	41
32	7	9	14
3	6	17	22
10	13	3	35
17	48	26	41
45	3	6	22
1	12	19	18
2	13	37	50
26	49	4	24
29	33	47	32
23	46	35	32
20	2	1	39
10	15	46	49
47	41	17	30
5	32	42	25
35	42	19	12
19	7	5	12
2	15	36	1
12	48	24	45
10	15	3	42
19	4	38	10
12	17	14	8
35	26	28	15
9	50	49	50
41	41	16	8
45	31	20	49
50	21	8	8
32	21	32	27
32	45	45	23
50	33	15	17
8	47	14	20
16	31	3	35
14	4	36	14
24	41	30	28
26	20	17	26
38	15	9	21
29	30	14	24
25	21	40	2
27	49	19	14
4	37	38	22
23	25	12	50
47	7	32	46
40	1	17	48
29	14	5	46
43	48	9	23
49	45	39	48
12	41	37	30
3	50	30	45
16	38	25	36
2	4	12	14
37	35	45	45
47	4	27	8
18	3	9	1
19	45	23	25
39	15	43	48
8	41	14	45
50	20	15	1
31	30	35	18
19	21	8	2
33	16	36	42
29	22	3	15
8	22	39	37
43	39	17	42
25	18	24	21
17	44	12	46
9	7	50	26
17	38	23	26
29	6	30	2
4	50	30	41
24	42	44	29
25	7	25	29
32	3	6	9
39	47	21	26
37	7	10	33
12	7	49	21
17	25	19	21
9	7	1	11
37	8	36	29
1	4	3	21
1	37	8	25
13	37	4	50
30	27	41	9
23	37	19	23
27	34	10	43
9	44	9	25
28	10	7	28
22	29	25	24
9	12	20	14
26	36	41	47
4	36	11	50
17	31	42	6
24	19	31	19
44	42	37	22
28	32	43	22
37	32	49	31
44	37	35	35
5	3	7	19
17	16	6	1
47	38	14	13
46	11	24	2
20	16	13	15
50	7	45	13
25	36	46	11
38	47	8	31
6	18	17	22
46	32	46	50
33	16	42	42
4	49	8	8
9	27	38	42
14	9	21	27
19	2	44	47
38	4	36	41
45	29	19	39
34	50	18	29
36	31	9	18
7	1	4	36
3	19	48	48
0	6	15	7
5	48	17	18
2	41	35	17
21	19	30	14
1	40	36	49
11	47	2	39
50	4	9	26
31	34	20	4
37	24	42	14
12	9	48	13
41	7	8	7
44	17	36	4
39	21	8	23
45	10	23	6
27	26	32	13
43	48	32	22
48	41	10	29
35	26	5	48
16	36	12	41
14	22	9	32
10	2	47	13
6	11	33	34
24	31	11	39
13	49	26	16
8	14	34	10
37	8	32	13
9	16	7	28
19	40	2	32
44	17	22	27
48	10	35	2
49	24	42	36
5	39	2	4
21	44	21	4
1	14	40	40
30	19	37	35
33	9	47	37
37	24	6	26
11	50	6	36
18	43	1	44
38	36	26	15
47	20	11	23
36	38	19	3
30	16	9	25
49	1	47	50
11	1	46	24
37	11	8	19
25	2	7	33
31	12	5	32
46	25	2	48
4	24	44	16
37	33	44	34
19	19	34	49
40	39	44	26
17	29	10	20
48	11	11	45
28	43	21	29
17	34	44	30
8	6	40	23
34	39	21	8
18	4	12	9
7	9	34	39
28	42	21	20
32	37	32	20
49	37	49	15
12	23	14	28
7	40	24	13
15	41	39	25
27	39	32	7
27	43	44	5
48	41	13	46
25	48	1	19
4	38	27	35
48	9	10	31
48	25	16	49
37	35	22	19
48	31	50	44
4	40	6	28
43	46	6	44
23	45	28	10
34	5	44	27
15	2	33	5
44	48	36	50
30	46	38	15
11	29	46	38
13	45	14	46
27	19	15	5
6	21	16	22
13	26	2	49
0	11	10	49
13	30	20	13
46	7	37	34
43	20	2	12
9	22	29	8
41	22	43	19
30	15	24	2
26	37	35	10
39	40	27	33
2	6	10	39
32	47	21	2
17	29	34	25
35	24	37	10
14	9	8	50
8	11	32	40
14	10	30	48
39	21	6	39
21	4	20	20
39	17	23	11
3	39	20	10
33	29	22	16
21	12	16	16
43	43	4	17
20	42	13	30
39	27	39	27
33	1	34	25
50	45	36	50
19	1	28	31
6	21	35	12
27	9	31	44
14	26	27	32
28	38	26	7
21	24	1	34
15	41	8	13
45	1	36	1
6	33	30	40
18	49	30	3
6	26	36	45
19	49	1	24
35	30	44	39
44	23	38	23
27	33	17	7
34	33	39	42
3	34	32	23
26	3	3	37
8	35	14	10
40	40	26	33
46	10	45	49
40	2	46	21
31	14	5	25
38	35	2	43
1	3	49	15
16	10	50	16
15	4	17	14
10	3	35	6
46	3	6	43
24	24	25	37
19	44	45	46
45	8	40	19
37	39	34	26
10	26	10	1
31	12	7	39
4	23	44	25
39	19	32	23
23	20	14	32
34	44	50	7
43	48	50	9
25	33	12	49
5	24	9	50
14	46	24	7
26	28	15	28
7	46	13	45
5	11	22	22
25	37	49	26
7	28	22	7
26	37	26	34
2	6	35	34
5	7	25	16
20	43	13	4
32	11	30	48
18	49	44	22
26	9	22	5
17	24	37	49
3	45	11	31
21	23	36	38
38	15	39	48
45	39	3	24
8	20	18	21
45	20	48	22
8	5	18	26
11	38	20	43
3	39	50	14
8	41	34	2
49	34	49	47
2	35	25	27
23	24	36	25
42	36	19	18
42	3	22	35
6	48	37	40
32	20	15	28
47	43	1	8
35	22	26	31
13	43	14	39
32	27	49	34
17	45	9	3
45	23	9	19
1	30	39	4
43	44	21	5
3	49	49	38
32	34	44	4
34	28	22	42
8	3	34	1
33	21	39	15
37	13	25	28
35	48	27	37
9	21	33	40
10	6	20	46
10	9	28	16
22	48	34	49
18	21	10	49
5	33	42	22
2	8	35	3
14	11	24	44
26	45	2	20
41	49	25	23
26	14	30	47
9	42	33	7
9	23	47	5
39	16	19	41
35	30	6	30
22	29	50	23
43	49	18	33
17	50	38	30
20	48	3	2
6	11	16	44
0	30	47	27
20	45	38	15
46	29	9	25
2	7	11	25
26	8	7	34
36	19	23	35
25	35	5	31
22	21	27	10
47	41	45	33
34	8	26	3
22	46	2	13
26	37	11	44
19	3	33	28
42	37	44	23
49	49	42	3
4	40	15	2
10	47	27	20
10	3	13	7
4	49	48	5
42	18	42	20
8	29	39	26
19	1	18	11
18	1	3	37
9	1	18	39
36	7	14	19
22	16	27	14
1	41	49	23
45	49	48	36
16	3	1	6
42	32	18	29
6	18	50	1
21	39	45	49
10	46	10	9
3	44	20	35
24	41	38	10
33	4	26	45
6	7	42	11
30	30	14	29
11	46	3	29
39	40	19	32
13	45	6	45
17	49	14	9
10	47	44	39
50	48	7	3
20	25	42	49
13	17	42	24
46	15	43	7
30	37	14	32
18	41	47	48
0	43	38	8
27	40	29	35
10	44	5	10
41	45	46	21
29	30	42	9
18	44	50	44
30	32	36	22
37	12	35	38
10	38	29	18
9	44	13	32
24	7	34	21
12	5	5	28
24	28	8	30
32	18	36	45
35	28	10	24
14	25	46	19
15	3	34	50
50	48	10	33
6	28	48	17
5	49	7	21
10	48	17	43
11	49	41	7
5	21	27	27
49	45	3	37
27	31	15	32
24	14	2	2
22	38	9	17
39	24	48	33
47	11	23	16
3	20	15	31
28	47	6	5
20	2	37	48
33	22	25	24
13	9	33	43
47	14	28	16
30	34	44	26
13	23	50	8
35	19	29	22
40	9	3	29
10	10	40	6
28	38	4	44
11	14	26	39
48	12	32	18
50	49	21	30
6	28	2	19
28	24	35	46
22	4	6	43
39	49	30	46
23	14	33	6
42	14	34	45
45	30	30	44
29	49	2	26
3	43	7	47
13	28	22	41
14	50	24	25
43	42	35	28
16	40	20	48
50	39	13	15
2	32	27	26
16	19	40	17
48	22	31	47
6	47	47	42
9	21	16	46
21	44	25	47
47	46	30	35
11	36	22	7
30	17	42	34
48	31	17	48
27	15	18	16
7	32	10	23
18	42	13	8
10	31	40	32
47	11	13	48
8	10	1	25
39	31	17	20
13	27	9	33
16	49	21	25
23	49	42	36
11	40	37	22
17	40	29	6
2	18	15	48
47	5	30	44
28	27	33	32
32	21	21	45
50	3	20	49
38	8	45	8
34	9	41	47
0	35	4	16
13	46	5	48
23	2	25	48
10	24	23	17
12	22	26	33
40	13	37	33
36	17	26	11
1	50	40	43
15	35	9	26
50	46	3	5
44	46	37	34
